#
# Options:
#   /data/jwen929/mobile/.venv/lib64/python3.12/site-packages/eiq_nsys/nsys_rel/nsys /data/jwen929/mobile/.venv/lib64/python3.12/site-packages/eiq_neutron_sdk/target/imxrt700/cmodel/NeutronFirmware.elf -nc /data/jwen929/mobile/pytorch_ref/executorch/examples/nxp/executor_runner/neutron-imxrt700.ini --mem-shared-path ddr_850193_temp -mic=0 -dc -fep -sce --sce 
#

TEST id=0
INIT

CORE n=zenv

RD n=MHPMEVENT12 d=0x00000000
RD n=MHPMEVENT13 d=0x00000000
RD n=MHPMEVENT14 d=0x00000000
RD n=MHPMEVENT15 d=0x00000000
RD n=MHPMEVENT16 d=0x00000000
RD n=MHPMEVENT17 d=0x00000000
RD n=MHPMEVENT18 d=0x00000000
RD n=MHPMEVENT19 d=0x00000000
RD n=MHPMEVENT20 d=0x00000000
RD n=MHPMEVENT21 d=0x00000000
RD n=MHPMEVENT22 d=0x00000000
RD n=MHPMEVENT23 d=0x00000000
RD n=MHPMEVENT24 d=0x00000000
RD n=MHPMEVENT25 d=0x00000000
RD n=MHPMEVENT26 d=0x00000000
RD n=MHPMEVENT27 d=0x00000000
RD n=MHPMEVENT28 d=0x00000000
RD n=MHPMEVENT29 d=0x00000000
RD n=MHPMEVENT3 d=0x00000000
RD n=MHPMEVENT30 d=0x00000000
RD n=MHPMEVENT31 d=0x00000000
RD n=MHPMEVENT4 d=0x00000000
RD n=MHPMEVENT5 d=0x00000000
RD n=MHPMEVENT6 d=0x00000000
RD n=MHPMEVENT7 d=0x00000000
RD n=MHPMEVENT8 d=0x00000000
RD n=MHPMEVENT9 d=0x00000000
RD n=MIDELEG d=0x00000000
RD n=MIE d=0x00000000
RD n=MIMPID d=0x00000001
RD n=MINSTRET d=0x00000000
RD n=MINSTRETH d=0x00000000
RD n=MIP d=0x00000000
RD n=MNCAUSE d=0x00000000
RD n=MNEPC d=0x00000000
RD n=MNSCRATCH d=0x00000000
RD n=MNSTATUS d=0x00000008
RD n=MSCRATCH d=0x00000000
RD n=MSG_RCV_DATA_M1 d=0x00000000
RD n=MSG_RCV_DAVAIL_M1 d=0x00000000
RD n=MSG_RCV_DREAD_M1 d=0x00000000
