status	job	reason	graph
CRASH	w1:145	fvp_runner rc=5: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=10383d3a (shared SDK, no fetch) ... cortex-m runner build failed (see /tmp/fvp_job_jl6vgjpr/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w1:515	out[0] max|delta|=4.800e+01 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w1:512	out[0] max|delta|=1.153e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_Scalar_out(L0,·,·)
SKIP	w1:532	fvp_runner rc=2: 	n0*=topk.values(L0,·,·,·,·,L1,L2)
SKIP	w1:535	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_0yuqnscm/uart.log) 	n0*=stack(·,·)
MISMATCH	w1:561	out[0] max|delta|=4.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Tensor_out(L0,L1,·)
SKIP	w1:602	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_6pvwm7_8/uart.log) 	n0*=ones.out(·,·)
MISMATCH	w1:607	out[0] max|delta|=1.929e+00 (rtol=0.01 atol=0.001)	n0*=fill.Scalar(L0,·)
SKIP	w1:611	fvp_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
SKIP	w1:665	fvp_runner rc=2: 	n0*=pixel_shuffle(L0,·)
SKIP	w1:672	fvp_runner rc=2: 	n0*=expand_copy(L0,·,·)
SKIP	w1:345	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=92297ce9 (shared SDK, no fetch) ... 	n0*=_pdist_forward(L0,·)
MISMATCH	w1:744	out[0] max|delta|=1.270e+02 (rtol=0.01 atol=0.001)	n0*=div.out_mode(L0,L1,·,·)
MISMATCH	w1:743	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
CRASH	w1:373	fvp_runner rc=5: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=10383d3a (shared SDK, no fetch) ... cortex-m runner build failed (see /tmp/fvp_job_f9rtq0yy/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
SKIP	w1:773	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_nt60b4jb/uart.log) 	n0*=zeros.out(·,·)
SKIP	w1:762	fvp_runner rc=2: 	n0*=copy(L0,L1,·)
SKIP	w1:763	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_guxcl0eu/uart.log) 	n0*=stack(·,·)
SKIP	w1:90	fvp_runner rc=2: 	n0*=min.dim_min(L0,·,·,L1,L2)
MISMATCH	w10:12	out[0] max|delta|=8.000e+00 (rtol=0.0 atol=0.0)	n0*=remainder.Scalar(L0,·)
SKIP	w10:118	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_co2789yu/uart.log) 	n0*=stack(·,·)
SKIP	w10:128	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_lxb2tey2/uart.log) 	n0*=zeros.out(·,·)
SKIP	w10:129	fvp_runner rc=2: 	n0*=min.dim_min(L0,·,·,L1,L2)
SKIP	w10:153	fvp_runner rc=2: 	n0*=native_group_norm(L0,·,·,·,·,·,·,·)
SKIP	w10:156	fvp_runner rc=2: 	n0*=_pdist_forward(L0,·)
MISMATCH	w10:160	out[0] max|delta|=2.300e+01 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_out(L0,L1,·)
SKIP	w10:185	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_x0xuvtjg/uart.log) 	n0*=ones.out(·,·)
MISMATCH	w10:190	out[0] max|delta|=1.929e+00 (rtol=0.01 atol=0.001)	n0*=fill.Scalar(L0,·)
SKIP	w10:225	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_nm7pduen/uart.log) 	n0*=full.out(·,·,·)
SKIP	w10:274	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_0ulrm68t/uart.log) 	n0*=arange.start_out(·,·,·,·)
SKIP	w10:309	fvp_runner rc=2: 	n0*=where.self(L0,L1,L2)
MISMATCH	w10:326	out[0] max|delta|=4.800e+01 (rtol=0.01 atol=0.001)	n0*=bitwise_left_shift.Tensor_out(L0,L1,·)
MISMATCH	w10:331	out[0] max|delta|=2.599e-01 (rtol=0.01 atol=0.001)	n0*=index_put(L0,·,L1,·)
SKIP	w10:346	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_lphd_zvv/uart.log) 	n0*=stack(·,·)
SKIP	w10:356	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job__m92qx7j/uart.log) 	n0*=zeros.out(·,·)
SKIP	w10:389	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_wpjrzzps/uart.log) 	n0*=arange.out(·,·)
SKIP	w10:396	fvp_runner rc=2: 	n0*=pixel_shuffle(L0,·)
MISMATCH	w10:378	out[0] max|delta|=1.280e+02 (rtol=0.01 atol=0.001)	n0*=div.Scalar(L0,·)
SKIP	w10:413	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_9whf34kt/uart.log) 	n0*=ones.out(·,·)
CRASH	w1:601	fvp_runner rc=5: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=10383d3a (shared SDK, no fetch) ... cortex-m runner build failed (see /tmp/fvp_job_6mfxif1j/build.fail.log) 	n0*=_fft_r2c(L0,·,·,·)
MISMATCH	w10:436	out[0] max|delta|=8.000e+00 (rtol=0.0 atol=0.0)	n0*=bitwise_right_shift.Tensor_Scalar(L0,·)
SKIP	w10:46	fvp_runner rc=2: no out-*.bin produced (see /tmp/fvp_job_au0rfite/uart.log) 	n0*=arange.start_out(·,·,·,·)
SKIP	w10:496	fvp_runner rc=2: 	n0*=pixel_unshuffle(L0,·)
SKIP	w10:512	fvp_runner rc=2: 	n0*=permute_copy(L0,·)
SKIP	w10:522	fvp_runner rc=2: 	n0*=convolution(L0,L1,·,·,·,·,·,·,·)
SKIP	w10:56	fvp_runner rc=2: 	n0*=permute_copy(L0,·)
SKIP	w1:79	fvp_runner rc=2: >> building runner (cache miss): backend=cortex-m target=cortex-m55 ops=3f4fd840 (shared SDK, no fetch) ... no out-*.bin produced (see /tmp/fvp_job_q0wzymp_/uart.log) 	n0*=stack(·,·)
