operator	k_samples	deleg	portable	unknown	mism_deleg	mism_port	crash_deleg	crash_port	skip_runtime	skip_feeder	timeout	OK_est
scatter_add.out	134	0	134	0	0	0	0	0	130	0	0	4
linear.out	124	124	0	0	2	0	0	0	89	0	0	33
scatter.src_out	99	99	0	0	0	0	0	0	0	0	0	99
index_select.out	63	63	0	0	0	0	0	0	9	0	0	54
index_select	44	44	0	0	0	0	0	0	0	0	0	44
elu.out	38	38	0	0	0	0	0	0	0	0	0	38
scatter.value_out	30	30	0	0	0	0	0	0	26	0	0	4
arange.start_out	25	25	0	0	0	0	0	0	7	0	0	18
avg_pool2d.out	8	8	0	0	0	0	0	0	0	0	0	8
gather.out	7	7	0	0	0	0	0	0	0	0	0	7
embedding	1	1	0	0	0	0	0	0	0	0	0	1
