op	verdict	job	out	detail	eager	device	in_dtypes
sign.out	CLEAN	w104:576	2	op reproduces eager alone	""	""	""
sin.out	CLEAN	w102:186	0	op reproduces eager alone	""	""	""
sinh.out	CLEAN	w100:33	1	op reproduces eager alone	""	""	""
slice_copy.Tensor	CLEAN	w109:759	1	op reproduces eager alone	""	""	""
slice_scatter	CLEAN	w105:4	0	op reproduces eager alone	""	""	""
split_copy.Tensor	CLEAN	w100:400	1	op reproduces eager alone	""	""	""
split_with_sizes_copy	CLEAN	w108:763	1	op reproduces eager alone	""	""	""
sqrt.out	CLEAN	w101:459	1	op reproduces eager alone	""	""	""
squeeze_copy.dim	CLEAN	w101:1069	1	op reproduces eager alone	""	""	""
squeeze_copy.dims	CLEAN	w0:357	0	op reproduces eager alone	""	""	""
sub.Scalar	CLEAN	w106:550	1	op reproduces eager alone	""	""	""
sub.out	CLEAN	w108:283	1	op reproduces eager alone	""	""	""
sum.IntList_out	GENUINE	w101:417	2	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[4.0]	[5.0]	["torch.float16"]
t_copy	CLEAN	w111:236	3	op reproduces eager alone	""	""	""
tan.out	CLEAN	w104:921	1	op reproduces eager alone	""	""	""
tanh.out	CLEAN	w102:174	1	op reproduces eager alone	""	""	""
topk.values	CLEAN	w101:463	0	op reproduces eager alone	""	""	""
transpose_copy.int	CLEAN	w103:672	2	op reproduces eager alone	""	""	""
tril.out	CLEAN	w103:363	0	op reproduces eager alone	""	""	""
trunc.out	CLEAN	w101:1091	4	op reproduces eager alone	""	""	""
unbind_copy.int	CLEAN	w105:23	2	op reproduces eager alone	""	""	""
unfold_copy	CLEAN	w106:572	3	op reproduces eager alone	""	""	""
unsqueeze_copy	CLEAN	w103:712	1	op reproduces eager alone	""	""	""
var.correction	CLEAN	w106:778	0	op reproduces eager alone	""	""	""
var.correction_out	NONFINITE_OUT	w106:64	3	out[0] non-finite mismatch (nan/inf positions differ)	[12632.0]	[Infinity]	["torch.float16"]
var_mean.correction	GENUINE	w112:322	3	out[0] max|delta|=1.534e-01 (rtol=0.01 atol=0.001)	[0.0]	[0.15344]	["torch.float16"]
view_copy	CLEAN	w104:46	2	op reproduces eager alone	""	""	""
where.self	CLEAN	w111:348	1	op reproduces eager alone	""	""	""
where.self_out	CLEAN	w103:308	2	op reproduces eager alone	""	""	""
