op	annotated	n_qdq	lowered	deleg_ops	note
max	YES	2	-	-	
max.dim_max	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
max.unary_out	YES	2	-	-	
max_pool2d_with_indices_backward.grad_input	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
maximum.out	YES	4	-	-	
mean	YES	2	-	-	
mean.dtype_out	YES	2	-	-	
mean.out	YES	2	-	-	
min	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
min.dim_min	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
min.unary_out	YES	2	-	-	
minimum.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Char'
mm.out	YES	4	-	-	
mul.Scalar	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
mul.out	YES	4	-	-	
narrow_copy	YES	2	-	-	
narrow_copy.out	YES	2	-	-	
native_group_norm	YES	2	-	-	
native_layer_norm	YES	2	-	-	
ne.Scalar_out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
ne.Tensor_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
neg.out	YES	2	-	-	
ones.out	no	0	-	-	
permute_copy	YES	2	-	-	
pixel_shuffle	YES	2	-	-	
pixel_unshuffle	YES	2	-	-	
pow.Scalar_out	YES	2	-	-	
pow.Tensor_Scalar_out	YES	2	-	-	
pow.Tensor_Tensor_out	YES	4	-	-	
prod	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
prod.int_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Short'
prod.out	YES	2	-	-	
reciprocal.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
reflection_pad1d.out	YES	2	-	-	
reflection_pad2d	YES	2	-	-	
reflection_pad2d.out	YES	2	-	-	
reflection_pad3d.out	YES	2	-	-	
relu	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
remainder.Scalar	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
remainder.Scalar_out	YES	2	-	-	
remainder.Tensor_out	YES	4	-	-	
repeat	YES	2	-	-	
replication_pad1d.out	YES	2	-	-	
replication_pad2d.out	YES	2	-	-	
replication_pad3d.out	YES	2	-	-	
roll	YES	2	-	-	
round.out	YES	2	-	-	
rsqrt.out	YES	2	-	-	
rsub.Scalar	YES	2	-	-	
scatter.src_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
scatter.value_out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
scatter_add.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
select_copy.int	YES	2	-	-	
select_scatter	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
sigmoid.out	YES	2	-	-	
sign.out	YES	2	-	-	
sin.out	ERR	0	-	-	NotImplementedError: "linspace_cpu" not implemented for 'Bool'
sinh.out	YES	2	-	-	
slice_copy.Tensor	YES	2	-	-	
slice_scatter	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Long'
split_copy.Tensor	YES	2	-	-	
split_with_sizes_copy	YES	2	-	-	
sqrt.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Byte'
squeeze_copy.dim	YES	2	-	-	
squeeze_copy.dims	YES	2	-	-	
stack	no	0	-	-	
stack.out	no	0	-	-	
sub.Scalar	YES	2	-	-	
sub.out	ERR	0	-	-	NotImplementedError: "histogram_cpu" not implemented for 'Int'
sum.IntList_out	YES	2	-	-	
t_copy	YES	2	-	-	
tan.out	YES	2	-	-	
tanh.out	YES	2	-	-	
