job_id	out_idx	verdict	cone_size	required_siblings	detail
w127:650	2	OPERATOR	5		diverges alone (cone 5)
w127:653	3	NOREPRO	2		full graph diverges=False
w127:654	3	NOREPRO	3		full graph diverges=False
w127:655	1	GRAPHOPT	6	n6	needs siblings ['n6']
w127:661	0	OPERATOR	2		diverges alone (cone 2)
w127:662	1	OPERATOR	6		diverges alone (cone 6)
w127:672	3	OPERATOR	7		diverges alone (cone 7)
w127:678	0	OPERATOR	2		diverges alone (cone 2)
w127:68	1	OPERATOR	3		diverges alone (cone 3)
w127:680	1	OPERATOR	4		diverges alone (cone 4)
w127:686	2	GRAPHOPT	8	n5	needs siblings ['n5']
w127:687	0	NOREPRO	3		full graph diverges=False
w127:690	3	OPERATOR	2		diverges alone (cone 2)
w127:691	2	OPERATOR	5		diverges alone (cone 5)
w127:692	1	OPERATOR	3		diverges alone (cone 3)
w127:698	0	OPERATOR	3		diverges alone (cone 3)
w127:7	0	OPERATOR	3		diverges alone (cone 3)
w127:712	4	OPERATOR	6		diverges alone (cone 6)
w127:719	0	GRAPHOPT	4	n5	needs siblings ['n5']
w127:73	0	OPERATOR	4		diverges alone (cone 4)
w127:732	2	NOREPRO	7		full graph diverges=False
w127:735	2	OPERATOR	5		diverges alone (cone 5)
w127:74	0	OPERATOR	4		diverges alone (cone 4)
w127:745	3	NOREPRO	4		full graph diverges=False
w127:756	0	OPERATOR	4		diverges alone (cone 4)
w127:758	0	OPERATOR	2		diverges alone (cone 2)
w127:762	2	NOREPRO	3		full graph diverges=False
w127:766	0	OPERATOR	3		diverges alone (cone 3)
w127:78	0	OPERATOR	4		diverges alone (cone 4)
w127:8	0	GRAPHOPT	9	n9	needs siblings ['n9']
w127:82	0	OPERATOR	3		diverges alone (cone 3)
w127:83	1	GRAPHOPT	8	n3,n9	needs siblings ['n3', 'n9']
w127:88	1	OPERATOR	2		diverges alone (cone 2)
w12:0	0	GRAPHOPT	5	n9	needs siblings ['n9']
w12:102	2	OPERATOR	8		diverges alone (cone 8)
w12:103	0	OPERATOR	5		diverges alone (cone 5)
w12:105	2	NOREPRO	5		full graph diverges=False
w12:106	2	OPERATOR	5		diverges alone (cone 5)
w12:109	2	OPERATOR	4		diverges alone (cone 4)
w12:11	2	OPERATOR	9		diverges alone (cone 9)
w12:127	1	OPERATOR	6		diverges alone (cone 6)
w12:13	2	OPERATOR	4		diverges alone (cone 4)
w12:132	0	OPERATOR	3		diverges alone (cone 3)
w12:134	0	GRAPHOPT	5	n7	needs siblings ['n7']
w12:147	0	OPERATOR	4		diverges alone (cone 4)
w12:159	1	OPERATOR	5		diverges alone (cone 5)
w12:161	0	GRAPHOPT	8	n5,n6,n7	needs siblings ['n5', 'n6', 'n7']
w12:165	0	OPERATOR	7		diverges alone (cone 7)
w12:167	1	OPERATOR	3		diverges alone (cone 3)
w12:17	0	GRAPHOPT	5	n6	needs siblings ['n6']
w12:171	1	NOREPRO	4		full graph diverges=False
w12:172	2	OPERATOR	7		diverges alone (cone 7)
w12:176	4	OPERATOR	4		diverges alone (cone 4)
w12:180	0	OPERATOR	6		diverges alone (cone 6)
w12:187	0	OPERATOR	5		diverges alone (cone 5)
w12:192	0	OPERATOR	4		diverges alone (cone 4)
w12:193	1	OPERATOR	3		diverges alone (cone 3)
