job_id	out	verdict	required	mechanism	sample
w104:185	0	SIBLING_DEPENDENT	n8	NONFINITE	eager=[-1.0, 1.0] et=[nan, nan]
w104:187	2	COMPOSITIONAL	n0,n4	SCALE:1.2	eager=[-0.419962] et=[-0.501953]
w104:767	4	SIBLING_DEPENDENT	n6	ZEROED	eager=[-0.501431, 1.352994] et=[0.0, 0.0]
w105:105	1	SIBLING_DEPENDENT	n2	ZEROED	eager=[-0.465497, 0.957294] et=[0.0, 0.0]
w105:145	1	SIBLING_DEPENDENT	n4	WRONG-VALUE	eager=[0.0, 0.0, 0.0] et=[1.0, 1.0, 1.0]
w105:249	1	COMPOSITIONAL	n1	NEAR-TOL (gate N>=5)	eager=[0.468501] et=[0.458984]
w105:285	2	SIBLING_DEPENDENT	n3	ZEROED	eager=[0.223743] et=[0.0]
w105:596	2	SIBLING_DEPENDENT	n6	ZEROED	eager=[1.167362, 3.064083, 0.690634, 4.306673] et=[0.0, 0.0, 0.0, 0.0]
w105:8	0	COMPOSITIONAL	n0	SCALE:1.17	eager=[-3.731423] et=[-4.367188]
w106:478	0	SIBLING_DEPENDENT	n9	NO-REPLAY	
w107:194	1	COMPOSITIONAL	n3,n0	SCALE:0.917	eager=[0.545738] et=[0.500488]
w107:543	2	SIBLING_DEPENDENT	n6	WRONG-VALUE	eager=[0.853516, -0.19165] et=[0.853516, -0.203125]
w107:656	0	COMPOSITIONAL	n0	SCALE:0.565	eager=[1.05957] et=[0.598145]
w107:89	1	SIBLING_DEPENDENT	n3,n7	SCALE:-1	eager=[3.0, 3.0, 3.0, 4.0] et=[-3.0, -3.0, -3.0, -4.0]
w108:400	0	SIBLING_DEPENDENT	n4	ZEROED	eager=[-1.15794, -0.166029, 1.306189, 0.973745] et=[0.0, 0.0, 0.0, 0.0]
w108:526	0	COMPOSITIONAL	n2,n3	SCALE:0	eager=[0.0, 1.0, 0.0, 0.0] et=[1.0, 0.0, 1.0, 1.0]
w109:327	0	SIBLING_DEPENDENT	n8,n12	ZEROED	eager=[0.5, 0.752195, 0.717889, 0.761984] et=[0.0, 0.0, 0.0, 0.0]
w109:58	0	COMPOSITIONAL	n1	WRONG-VALUE	eager=[0.0, 0.0, 0.0, 0.0] et=[1.029844, 1.029844, 1.029844, 1.029844]
w109:77	2	SIBLING_DEPENDENT	n7	REF-NONFINITE (filter)	eager=[1.286758, 0.585807, nan, 0.0] et=[1.287109, 0.585449, nan, 0.0]
w10:221	0	COMPOSITIONAL	n0	WRONG-VALUE	eager=[0.689453, -0.758301, -1.12793, 0.566406] et=[0.690918, -0.759277, -1.120117, 0.567871]
w10:761	3	COMPOSITIONAL	n1	SCALE:0.5	eager=[0.828125] et=[0.414062]
w110:126	2	COMPOSITIONAL	n10	WRONG-VALUE	eager=[0.0] et=[1.152921504606847e+18]
w110:495	0	COMPOSITIONAL	n0	WRONG-VALUE	eager=[1.0, 1.0, 1.0, 1.0] et=[1.0, 1.0, 1.0, 1.0]
w110:621	4	COMPOSITIONAL	n6	WRONG-VALUE	eager=[0.0] et=[1.0]
w111:17	3	SIBLING_DEPENDENT	n4	WRONG-VALUE	eager=[0.0, 0.0] et=[1.0, 0.0]
w111:550	3	SIBLING_DEPENDENT	n3	ZEROED	eager=[-0.482491, 1.110353, 0.934016, 1.163586] et=[0.0, 0.0, 0.0, 0.0]
w111:59	1	COMPOSITIONAL	n5	NONFINITE	eager=[-0.0, -0.0] et=[nan, nan]
w111:621	5	COMPOSITIONAL	n0	ZEROED	eager=[0.0, 0.0, 0.0, 0.0] et=[0.0, 0.0, 0.0, 0.0]
w111:645	2	SIBLING_DEPENDENT	n1	REF-NONFINITE (filter)	eager=[nan, 0.0] et=[0.0, 0.0]
w112:232	1	SIBLING_DEPENDENT	n7	WRONG-VALUE	eager=[0.0, 0.0] et=[1.0, 0.0]
w112:479	1	COMPOSITIONAL	n3	SCALE:0.485	eager=[0.520996] et=[0.252686]
w112:692	2	SIBLING_DEPENDENT	n6	REF-NONFINITE (filter)	eager=[nan, -0.167603, nan, 2.160156] et=[nan, -0.167603, nan, 2.158203]
w112:87	1	SIBLING_DEPENDENT	n1,n6	ZEROED	eager=[1.0] et=[0.0]
w113:293	1	COMPOSITIONAL	n5	ZEROED	eager=[0.766288, 0.761766, 0.334998, 0.831513] et=[0.0, 0.0, 0.0, 0.0]
w113:403	2	SIBLING_DEPENDENT	n6,n7	ZEROED	eager=[-1.0, -1.0, -1.0, -1.0] et=[0.0, 0.0, 0.0, 0.0]
w113:432	1	SIBLING_DEPENDENT	n3,n6	ZEROED	eager=[-3.0, -3.0, -3.0, 4.0] et=[0.0, 0.0, 0.0, 0.0]
w113:473	3	SIBLING_DEPENDENT	n2	ZEROED	eager=[0.881348, 0.881348, 0.0, 0.881348] et=[0.0, 0.0, 0.0, 0.0]
w113:674	1	SIBLING_DEPENDENT	n2,n7	WRONG-VALUE	eager=[-1.0, -1.0, -1.0, -2.0] et=[-2.0, -2.0, -2.0, -2.0]
w114:718	0	COMPOSITIONAL	n2,n0	ZEROED	eager=[0.280029, 0.110779] et=[0.0, 0.0]
w115:79	1	SIBLING_DEPENDENT	n1	REF-NONFINITE (filter)	eager=[nan] et=[65504.0]
