job_id	out_idx	verdict	cone_size	required	detail
w7:546	2	CONE_LOCAL_CANT_SPLIT	1		cone_build_skip
w70:216	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w70:218	2	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w70:601	0	SIBLING_DEPENDENT	3	n6	
w71:72	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w72:287	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w72:298	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w73:249	0	SIBLING_DEPENDENT	3	n5	
w73:517	0	SIBLING_DEPENDENT	4	n6	
w75:181	3	OPERATOR	1		
w75:338	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w75:134	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w75:598	0	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w76:435	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w76:512	2	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w77:559	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w79:100	2	OPERATOR	3		
w79:389	0	SIBLING_DEPENDENT	3	n5,n7	
w79:529	3	SIBLING_DEPENDENT	3	n3	
w8:250	1	COMPOSITIONAL	3	n0,n1,n2	
w8:436	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w80:239	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w80:491	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w81:131	1	COMPOSITIONAL	2	n1	
w81:303	2	OPERATOR	2		
w81:416	0	SIBLING_DEPENDENT	3	n6	
w81:565	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w83:300	2	COMPOSITIONAL	2	n2	
w83:31	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w83:434	0	COMPOSITIONAL	4	n5,n2	
w84:630	1	COMPOSITIONAL	5	n5,n3	
w85:3	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w85:364	0	COMPOSITIONAL	1	n0	
w86:465	0	OPERATOR	1		
w86:66	1	SIBLING_DEPENDENT	3	n3	
w9:196	0	COMPOSITIONAL	1	n0	
w9:234	3	SIBLING_DEPENDENT	5	n7	
w9:273	2	SIBLING_DEPENDENT	2	n5	
w9:336	3	SIBLING_DEPENDENT	3	n8	
w9:364	0	CONE_LOCAL_CANT_SPLIT	8		cone_build_skip
w9:434	1	SIBLING_DEPENDENT	3	n6,n7	
w9:51	1	OPERATOR	2		
w9:67	1	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w9:95	1	OPERATOR	1		
w90:412	0	COMPOSITIONAL	2	n0,n1	
w90:172	0	SIBLING_DEPENDENT	4	n3,n6	
w90:653	3	OPERATOR	3		
w91:180	2	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w91:491	2	SIBLING_DEPENDENT	3	n2	
w91:537	3	SIBLING_DEPENDENT	4	n2	
w93:490	2	CONE_LOCAL_CANT_SPLIT	7		cone_build_skip
w93:70	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w94:385	0	COMPOSITIONAL	2	n1	
w95:15	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w95:211	1	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w95:264	2	ERROR			DEV:SKIP
w95:434	3	SIBLING_DEPENDENT	4	n4,n5	
w95:450	3	SIBLING_DEPENDENT	3	n6	
w95:558	1	OPERATOR	2		
w95:611	3	CONE_LOCAL_CANT_SPLIT	3		cone_build_skip
w97:131	0	SIBLING_DEPENDENT	2	n5	
w98:300	2	SIBLING_DEPENDENT	4	n4	
w98:58	2	SIBLING_DEPENDENT	4	n2	
w99:697	4	COMPOSITIONAL	2	n2	
w0:153	0	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w19:324	1	DEV:TIMEOUT			DEV:TIMEOUT
w29:373	1	ERROR			DEV:CRASH
w32:587	1	OPERATOR	2		
w37:576	1	LOWERFAIL			BUILD:SKIP
w5:136	0	LOWERFAIL			BUILD:SKIP
w64:623	0	ERROR			DEV:SKIP
w69:481	0	SIBLING_DEPENDENT	3	n9	
w95:264	2	ERROR			DEV:SKIP
w0:127	2	DEV:TIMEOUT			DEV:TIMEOUT
w0:29	0	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w0:36	2	SIBLING_DEPENDENT	2	n4	
w0:362	1	DEV:TIMEOUT			DEV:TIMEOUT
w1:243	0	OPERATOR	2		
w10:114	2	CONE_LOCAL_CANT_SPLIT	2		cone_build_skip
w10:761	3	COMPOSITIONAL	2	n1	
w100:137	3	CONE_LOCAL_CANT_SPLIT	6		cone_build_skip
w100:269	0	SIBLING_DEPENDENT	2	n7	
w100:284	1	SIBLING_DEPENDENT	3	n1	
w100:639	0	OPERATOR	1		
w100:740	0	OPERATOR	1		
w101:116	1	OPERATOR	3		
w101:335	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w101:701	2	COMPOSITIONAL	4	n5	
w102:615	3	OPERATOR	3		
w102:702	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w103:241	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w103:54	1	CONE_LOCAL_CANT_SPLIT	5		cone_build_skip
w103:585	1	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
w104:254	2	CONE_LOCAL_CANT_SPLIT	4		cone_build_skip
