w107:549	0	out[0] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w107:606	0	out[0] non-finite mismatch (nan/inf positions differ)
w107:532	0	out[0] max|delta|=3.418e-01 (rtol=0.01 atol=0.001)
w107:656	0	out[0] max|delta|=1.060e+00 (rtol=0.01 atol=0.001)
w107:598	3	out[3] non-finite mismatch (nan/inf positions differ)
w107:89	2	out[2] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)
w107:517	4	out[4] max|delta|=2.550e+02 (rtol=0.0 atol=0.0)
w107:608	0	out[0] non-finite mismatch (nan/inf positions differ)
w108:196	4	out[4] non-finite mismatch (nan/inf positions differ)
w107:94	2	out[2] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w108:171	0	out[0] max|delta|=4.825e-01 (rtol=0.01 atol=0.001)
w108:25	2	out[2] non-finite mismatch (nan/inf positions differ)
w108:308	0	out[0] max|delta|=1.153e+18 (rtol=0.01 atol=0.001)
w108:425	1	out[1] non-finite mismatch (nan/inf positions differ)
w108:306	3	out[3] max|delta|=5.456e-01 (rtol=0.01 atol=0.001)
w108:32	2	out[2] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)
w108:498	2	out[2] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w108:40	0	out[0] non-finite mismatch (nan/inf positions differ)
w108:453	3	out[3] max|delta|=1.968e-01 (rtol=0.01 atol=0.001)
w108:499	1	out[1] max|delta|=3.000e+00 (rtol=0.0 atol=0.0)
w108:539	0	out[0] non-finite mismatch (nan/inf positions differ)
w108:421	2	out[2] non-finite mismatch (nan/inf positions differ)
w108:681	1	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)
w108:657	0	out[0] max|delta|=2.136e+00 (rtol=0.01 atol=0.001)
w109:130	0	out[0] max|delta|=2.117e+00 (rtol=0.01 atol=0.001)
w108:755	0	out[0] non-finite mismatch (nan/inf positions differ)
w109:306	2	out[2] non-finite mismatch (nan/inf positions differ)
w109:223	0	out[0] non-finite mismatch (nan/inf positions differ)
w109:256	1	out[1] non-finite mismatch (nan/inf positions differ)
w109:395	0	out[0] max|delta|=1.826e-01 (rtol=0.01 atol=0.001)
w109:44	2	out[2] non-finite mismatch (nan/inf positions differ)
w109:539	0	out[0] max|delta|=6.000e+00 (rtol=0.0 atol=0.0)
