op	verdict	job	out	detail	eager	device	in_dtypes
max.unary_out	CLEAN	w102:765	0	op reproduces eager alone	""	""	""
max_pool2d_with_indices.out	CLEAN	w11:58	1	op reproduces eager alone	""	""	""
max_pool2d_with_indices_backward.grad_input	LOWERFAIL	w0:7	0	build=SKIP	""	""	""
maximum.out	CLEAN	w0:5	0	op reproduces eager alone	""	""	""
mean	CLEAN	w106:233	1	op reproduces eager alone	""	""	""
mean.dtype_out	CLEAN	w102:632	0	op reproduces eager alone	""	""	""
mean.out	GENUINE	w101:215	0	out[0] max|delta|=3.438e+00 (rtol=0.01 atol=0.001)	[-0.33838]	[3.09961]	["torch.float32"]
min	CLEAN	w100:341	0	op reproduces eager alone	""	""	""
min.dim_min	GENUINE	w101:1109	3	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	[-9.223372036854776e+18]	[0.0]	["torch.int64", "torch.int64", "torch.int64"]
min.unary_out	GENUINE	w102:318	2	out[0] max|delta|=1.246e+11 (rtol=0.01 atol=0.001)	[124853944320.0]	[299892736.0]	["torch.int64"]
minimum.out	GENUINE	w111:5	0	out[0] max|delta|=1.433e+00 (rtol=0.01 atol=0.001)	[-1.15794, -0.16603, 0.00892, 0.00892, 0.00892, 0.00892]	[-1.15794, -0.16603, 0.00892, 0.00892, 0.00892, 0.00892]	["torch.float32", "torch.float32"]
mm.out	CLEAN	w103:629	3	op reproduces eager alone	""	""	""
mul.Scalar	CLEAN	w101:522	1	op reproduces eager alone	""	""	""
mul.out	GENUINE	w101:738	3	out[0] max|delta|=5.042e+21 (rtol=0.01 atol=0.001)	[5.0418833656327e+21, 4.096481257930621e+19, -0.0, -0.0]	[-0.0, -0.0, -0.0, -0.0]	["torch.float32", "torch.int64"]
narrow_copy	GENUINE	w48:72	1	out[0] shape (2,) vs (2, 4, 4)	[0.48249, 0.29591]	[0.0, 0.0]	["torch.float32"]
narrow_copy.out	CLEAN	w42:236	0	op reproduces eager alone	""	""	""
native_group_norm	NONFINITE_OUT	w41:103	2	out[0] non-finite mismatch (nan/inf positions differ)	[NaN]	[0.0]	["torch.float32"]
