job_id	out_idx	verdict	cone_size	required_siblings	detail
w24:673	0	OPERATOR	2		diverges alone (cone 2)
w24:679	1	OPERATOR	4		diverges alone (cone 4)
w24:694	2	OPERATOR	2		diverges alone (cone 2)
w24:703	3	OPERATOR	3		diverges alone (cone 3)
w24:710	3	OPERATOR	3		diverges alone (cone 3)
w24:738	1	OPERATOR	3		diverges alone (cone 3)
w24:744	1	OPERATOR	5		diverges alone (cone 5)
w24:753	0	OPERATOR	2		diverges alone (cone 2)
w24:761	3	OPERATOR	3		diverges alone (cone 3)
w24:769	2	OPERATOR	6		diverges alone (cone 6)
w24:787	0	OPERATOR	3		diverges alone (cone 3)
w24:793	0	NOREPRO	5		full graph diverges=False
w24:808	1	OPERATOR	4		diverges alone (cone 4)
w24:818	1	NOREPRO	5		full graph diverges=False
w24:825	5	OPERATOR	3		diverges alone (cone 3)
w24:848	1	NOREPRO	3		full graph diverges=False
w24:85	3	OPERATOR	5		diverges alone (cone 5)
w24:864	0	NOREPRO	3		full graph diverges=False
w24:872	0	GRAPHOPT	7	n9	needs siblings ['n9']
w24:896	0	GRAPHOPT	4	n7	needs siblings ['n7']
w24:900	1	OPERATOR	7		diverges alone (cone 7)
w25:100	3	OPERATOR	2		diverges alone (cone 2)
w25:101	1	OPERATOR	3		diverges alone (cone 3)
w25:106	1	OPERATOR	5		diverges alone (cone 5)
w25:111	2	OPERATOR	3		diverges alone (cone 3)
w25:118	0	OPERATOR	5		diverges alone (cone 5)
w25:122	1	OPERATOR	4		diverges alone (cone 4)
w25:163	3	OPERATOR	4		diverges alone (cone 4)
w25:165	3	OPERATOR	5		diverges alone (cone 5)
w25:169	0	OPERATOR	5		diverges alone (cone 5)
w25:172	4	OPERATOR	2		diverges alone (cone 2)
w25:189	1	OPERATOR	3		diverges alone (cone 3)
w25:208	0	OPERATOR	5		diverges alone (cone 5)
w25:222	1	GRAPHOPT	4	n6	needs siblings ['n6']
w25:226	3	GRAPHOPT	6	n3	needs siblings ['n3']
w25:239	1	OPERATOR	4		diverges alone (cone 4)
w25:24	1	OPERATOR	3		diverges alone (cone 3)
w25:251	4	OPERATOR	3		diverges alone (cone 3)
w25:256	2	OPERATOR	9		diverges alone (cone 9)
w25:26	2	OPERATOR	5		diverges alone (cone 5)
w25:284	0	OPERATOR	2		diverges alone (cone 2)
w25:286	2	OPERATOR	3		diverges alone (cone 3)
