w14:280	1	OPERATOR	7		diverges alone (cone 7)
w1:430	3	LOWERFAIL	4		dev=TIMEOUT
w14:3	4	LOWERFAIL	2		dev=TIMEOUT
w14:348	1	NOREPRO	6		full graph diverges=False
w14:374	0	LOWERFAIL	3		dev=TIMEOUT
w14:401	0	LOWERFAIL	6		dev=TIMEOUT
w14:429	0	LOWERFAIL	2		dev=TIMEOUT
w14:509	0	LOWERFAIL	3		dev=TIMEOUT
w14:552	0	OPERATOR	6		diverges alone (cone 6)
w14:564	0	LOWERFAIL	4		dev=TIMEOUT
w14:578	0	OPERATOR	2		diverges alone (cone 2)
w14:583	2	LOWERFAIL	4		dev=TIMEOUT
w14:597	0	LOWERFAIL	4		dev=TIMEOUT
w14:627	3	LOWERFAIL	5		align(et=1,eager=4)
w14:657	0	LOWERFAIL	5		dev=TIMEOUT
w14:708	2	OPERATOR	5		diverges alone (cone 5)
w14:717	0	GRAPHOPT	8	n4,n6,n7,n8	needs siblings ['n4', 'n6', 'n7', 'n8']
w14:732	1	LOWERFAIL	6		dev=TIMEOUT
w14:748	2	LOWERFAIL	4		dev=TIMEOUT
w1:476	4	LOWERFAIL	2		dev=TIMEOUT
w14:849	2	LOWERFAIL	4		dev=TIMEOUT
w14:876	0	LOWERFAIL	4		dev=TIMEOUT
w14:884	3	LOWERFAIL	3		dev=TIMEOUT
w1:491	3	LOWERFAIL	6		dev=TIMEOUT
w14:94	1	LOWERFAIL	2		dev=TIMEOUT
w14:951	0	LOWERFAIL	5		dev=TIMEOUT
w14:960	2	OPERATOR	2		diverges alone (cone 2)
w15:10	0	LOWERFAIL	3		dev=TIMEOUT
w15:1001	1	OPERATOR	3		diverges alone (cone 3)
w15:1015	2	OPERATOR	4		diverges alone (cone 4)
w15:1035	3	OPERATOR	4		diverges alone (cone 4)
w15:1040	2	LOWERFAIL	3		dev=TIMEOUT
w1:51	1	LOWERFAIL	5		dev=TIMEOUT
w15:121	2	LOWERFAIL	8		dev=TIMEOUT
w15:16	0	LOWERFAIL	2		dev=TIMEOUT
w15:168	0	LOWERFAIL	3		dev=TIMEOUT
w15:19	0	OPERATOR	3		diverges alone (cone 3)
w15:191	3	LOWERFAIL	5		dev=TIMEOUT
w15:194	1	OPERATOR	4		diverges alone (cone 4)
w15:257	2	NOREPRO	3		full graph diverges=False
w15:26	2	LOWERFAIL	11		dev=TIMEOUT
w15:278	4	OPERATOR	2		diverges alone (cone 2)
w15:282	1	LOWERFAIL	6		dev=TIMEOUT
w15:298	2	OPERATOR	4		diverges alone (cone 4)
w15:312	3	NOREPRO	6		full graph diverges=False
w15:35	2	OPERATOR	5		diverges alone (cone 5)
w15:361	1	OPERATOR	4		diverges alone (cone 4)
w15:379	0	LOWERFAIL	3		dev=TIMEOUT
w15:381	0	LOWERFAIL	3		dev=TIMEOUT
w15:427	0	LOWERFAIL	4		dev=TIMEOUT
w15:44	4	LOWERFAIL	3		dev=TIMEOUT
w15:450	1	OPERATOR	9		diverges alone (cone 9)
w15:459	2	OPERATOR	3		diverges alone (cone 3)
w15:51	2	OPERATOR	6		diverges alone (cone 6)
w15:55	1	LOWERFAIL	6		dev=TIMEOUT
w15:594	2	LOWERFAIL	6		dev=TIMEOUT
w15:607	2	LOWERFAIL	5		align(et=2,eager=4)
w15:614	3	LOWERFAIL	3		dev=TIMEOUT
