job_id	op	status	cm_bucket	cm_compute	cm_all	leaf_nonfinite	note
w77:27	stack	SKIP	NO-CM			False	
w78:226	prod.int_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w79:259	copy	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w79:759	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w7:682	stack	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w80:699	prod.int_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w81:88	arange.out	SKIP	NO-CM			False	
w82:773	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w83:683	zeros.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w84:773	copy	SKIP	NO-CM			False	
w85:698	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w86:691	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w87:546	_pdist_forward	SKIP	NO-CM			False	
w88:468	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w89:481	max_pool2d_with_indices_backward.grad_input	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w8:422	scatter_add.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w90:428	pixel_unshuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w91:411	ones.out	SKIP	NO-CM			False	
w92:364	floor_divide	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w93:296	arange.start_out	SKIP	NO-CM			False	
w94:325	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w95:199	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w96:130	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w96:754	scatter_add.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w97:762	topk.values	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w98:716	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w99:589	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w9:543	zeros.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w0:309	fmod.Tensor_out	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w100:263	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w101:215	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w102:105	arange.out	SKIP	NO-CM			False	
w102:731	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w103:71	where.self	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w104:719	linear	CRASH	NO-CM			False	
w105:781	arange.start_out	SKIP	NO-CM			False	
w106:753	_pdist_forward	SKIP	NO-CM			False	
w107:623	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w108:552	stack	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w109:576	_pdist_forward	SKIP	NO-CM			False	
w10:617	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w110:617	pixel_shuffle	SKIP	CM-COMPUTE	transpose	dequantize_per_tensor,quantize_per_tensor,transpose	False	
w111:73	scatter.src_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w112:650	full.out	SKIP	NO-CM			False	
w113:545	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w114:381	copy	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w115:238	zeros.out	SKIP	NO-CM			False	
w116:130	stack	SKIP	NO-CM			False	
w116:658	fill.Scalar	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w117:689	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w118:607	bitwise_right_shift.Tensor_Scalar	MISMATCH	NO-CM			False	
w119:520	topk.values	SKIP	NO-CM			False	
w11:434	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w120:416	arange.start_out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w121:443	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w122:255	arange.out	SKIP	NO-CM			False	
w123:111	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w124:243	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w125:204	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w125:98	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w127:123	max.dim_max	SKIP	NO-CM			False	
w12:159	expand_copy	SKIP	NO-CM			False	
w12:72	pixel_shuffle	SKIP	CM-COMPUTE	transpose	transpose	False	
w13:639	ones.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w14:650	native_group_norm	SKIP	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w15:608	arange.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
w16:452	index_put	MISMATCH	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	True	
w17:35	_fft_r2c	TIMEOUT	CM-QUANT-ONLY		dequantize_per_tensor,quantize_per_tensor	False	
w18:307	full.out	SKIP	CM-QUANT-ONLY		dequantize_per_tensor	False	
