op	n	f_OK	f_MISMATCH	f_SKIP	f_CRASH	q_OK	q_MISMATCH	q_SKIP	q_CRASH	changed
sub.Scalar	2	2	0	0	0	2	0	0	0	0
sub.out	36	10	26	0	0	8	28	0	0	2
sum.IntList_out	29	27	2	0	0	24	5	0	0	3
t_copy	33	33	0	0	0	32	1	0	0	1
tan.out	35	35	0	0	0	35	0	0	0	0
tanh.out	37	37	0	0	0	37	0	0	0	0
topk.values	13	5	0	8	0	3	1	1	8	9
transpose_copy.int	37	37	0	0	0	33	4	0	0	4
trunc.out	30	30	0	0	0	30	0	0	0	0
unbind_copy.int	32	32	0	0	0	25	7	0	0	7
unfold_copy	35	29	0	6	0	27	0	8	0	4
unsqueeze_copy	29	29	0	0	0	24	5	0	0	5
var.correction	33	33	0	0	0	33	0	0	0	0
var.correction_out	15	7	0	8	0	11	4	0	0	10
var_mean.correction	32	32	0	0	0	32	0	0	0	0
view_copy	31	31	0	0	0	28	3	0	0	3
where.self	32	32	0	0	0	25	7	0	0	7
where.self_out	34	34	0	0	0	34	0	0	0	0
