status	job	reason	graph
SKIP	w0:372	client RuntimeError: Failed to load method forward, error: 0x:23 | [ETCoreMLModelCompiler.mm:55] [Core ML]  Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation aten_mean_default_cast_fp16: Param 'x' has incorrect type for operator 'reduce_me [backend_delegate.mm:418] [Core ML] Model init failed Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation aten_mean_default_cast_fp16: Param 'x' has incorrect type for op [coreml_backend_delegate.mm:342] CoreMLBackend: Failed to init the model. [method.cpp:132] Init failed for backend CoreMLBackend: 0x23	n0=div.out(L0,L1,·) ; n1=unbind_copy.int(n0,·) ; n2=asin.out(n0,·) ; n3=atanh.out(n2,·) ; n4*=transpose_copy.int(n0,·,·) ; n5*=slice_copy.Tensor(n3,·,·,·,·) ; n6=to(n1,·) ; n7=bcast(n6,·) ; n8*=eq.Tensor_out(n3,n7,·) ; n9*=mean.dtype_out(n1,·,·)
SKIP	w0:373	client RuntimeError: Caught an unknown exception!	n0=_pdist_forward(L0,·) ; n1*=any.all_out(n0,·) ; n2=remainder.Scalar_out(n0,·,·) ; n3=ge.Scalar_out(n2,·,·) ; n4=clamp.out(n2,·,·,·) ; n5=any.all_out(n3,·) ; n6*=native_layer_norm(n4,·,·,·,·) ; n7*=bitwise_left_shift.Tensor_Scalar(n5,·)
SKIP	w0:397	client RuntimeError: Failed to load method forward, error: 0x:23 | [ETCoreMLModelCompiler.mm:55] [Core ML]  Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation reduce_max_0: Param 'x' has incorrect type for operator 'reduce_max'. Expected {  [backend_delegate.mm:418] [Core ML] Model init failed Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation reduce_max_0: Param 'x' has incorrect type for operator 'reduce_ [coreml_backend_delegate.mm:342] CoreMLBackend: Failed to init the model. [method.cpp:132] Init failed for backend CoreMLBackend: 0x23	n0=any.dims_out(L0,·,·,·) ; n1=remainder.Scalar_out(n0,·,·) ; n2=sign.out(n1,·) ; n3=div.Scalar_mode(n2,·,·) ; n4*=le.Scalar_out(n0,·,·) ; n5*=trunc.out(n1,·) ; n6*=ceil.out(n3,·) ; n7*=atanh.out(n1,·)
MISMATCH	w0:406	out[3] max|delta|=1.000e+00 (rtol=0.01 atol=0.001)	n0=log2.out(L0,·) ; n1=floor_divide.out(n0,n0,·) ; n2=sign.out(n1,·) ; n3=remainder.Scalar(n2,·) ; n4*=atan2.out(n0,n0,·) ; n5*=index.Tensor_out(n1,·,·) ; n6*=narrow_copy(n2,·,·,·) ; n7*=floor.out(n3,·)
SKIP	w0:433	client RuntimeError: method->execute() failed with error 0x1 | [coreml_backend_delegate.mm:166] CoreMLBackend: DataType=1 is not supported [coreml_backend_delegate.mm:372] CoreMLBackend: Failed to create multiarray from output at args[4] [method.cpp:1530] CALL_DELEGATE execute failed at instruction 0: 0x1	n0=unbind_copy.int(L0,·) ; n1*=clamp.out(n0,·,·,·) ; n2=logical_not.out(n0,·) ; n3*=le.Scalar_out(n2,·,·) ; n4=native_layer_norm(n2,·,·,·,·) ; n5=unbind_copy.int(n0,·) ; n6*=div.Scalar(n5,·) ; n7*=eq.Scalar_out(n4,·,·)
MISMATCH	w0:437	out[1] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	n0=floor_divide(L0,L1) ; n1=remainder.Scalar_out(n0,·,·) ; n2=_cdist_forward(L2,n1,·,·) ; n3=round.out(n2,·) ; n4*=_softmax.out(n3,·,·,·) ; n5*=any.dims_out(n1,·,·,·) ; n6*=logit.out(n2,·,·) ; n7*=tril.out(n1,·,·)
SKIP	w0:44	client RuntimeError: Failed to load method forward, error: 0x:23 | [ETCoreMLModelCompiler.mm:55] [Core ML]  Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation aten_amax_default: Param 'x' has incorrect type for operator 'reduce_max'. Expect [backend_delegate.mm:418] [Core ML] Model init failed Failed to compile model, error = Error Domain=com.apple.mlassetio Code=1 "Failed to parse the model specification. Error: Unable to parse ML Program: in operation aten_amax_default: Param 'x' has incorrect type for operator 're [coreml_backend_delegate.mm:342] CoreMLBackend: Failed to init the model. [method.cpp:132] Init failed for backend CoreMLBackend: 0x23	n0=min(L0) ; n1=bitwise_left_shift.Tensor_Scalar(n0,·) ; n2=amax.out(n1,·,·,·) ; n3=bcast(n0,·) ; n4=bcast(n2,·) ; n5*=addmm.out(n0,n3,n4,·,·,·) ; n6=slice_copy.Tensor(n3,·,·,·,·) ; n7*=pow.Tensor_Scalar_out(n3,·,n6) ; n8*=unfold_copy(n4,·,·,·) ; n9*=min.unary_out(n0,·)
SKIP	w0:444	client RuntimeError: Caught an unknown exception!	n0=fill.Tensor(L0,L1) ; n1*=logical_and(n0,L2) ; n2=narrow_copy(n0,·,·,·) ; n3*=any.all_out(n0,·) ; n4=bitwise_right_shift.Tensor_Scalar(n2,·) ; n5=clamp.Tensor_out(n4,·,·,n0) ; n6*=expm1.out(n0,·) ; n7*=logical_not(n5)
TIMEOUT	w0:485	kernel exceeded job-timeout	n0=tanh.out(L0,·) ; n1*=transpose_copy.int(n0,·,·) ; n2*=logical_not.out(n0,·) ; n3=logical_not(n0) ; n4*=isinf(n0) ; n5*=_pdist_forward(n0,·) ; n6*=div.out(n3,L1,·) ; n7*=_pdist_forward(n0,·)
SKIP	w0:525	client RuntimeError: Caught an unknown exception!	n0=le.Scalar_out(L0,·,·) ; n1=t_copy(n0) ; n2*=any.dims_out(n1,·,·,·) ; n3=narrow_copy(n0,·,·,·) ; n4=repeat(n3,·) ; n5*=narrow_copy(n4,·,·,·) ; n6*=sign.out(n3,·) ; n7*=mul.Scalar(n1,·)
