job	out	verdict	bucket	rec_mech	mech	test	vacuous	shared	port	xnn	eq_port	eq_xnn	A_deleg	B_deleg	deleg_full	A_n_ok	B_n_div	dtype	shape	numel	rel_pt	rel_sc	n_match	tgt_op	trigger_ops	detail	file
w26:67	0	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		VGF_ONLY	OK	OK	False	False	3	4	13	2	3	float16	(4,)	4	0.2166	0.2166		sub	floor_divide	max|delta|=1 |ref|max=4.617	w26_67__0.pt
w2:380	0	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	1	2	8	2	3	float16	(3, 2)	6	0.04432	0.0362		div	_log_softmax	max|delta|=0.07812 |ref|max=2.158	w2_380__0.pt
w48:634	0	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		VGF_ONLY	OK	OK	False	False	0	3	10	2	3	float16	(2,)	2	0.1116	0.1116		t_copy	asinh	max|delta|=0.377 |ref|max=3.377	w48_634__0.pt
w5:396	0	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		SHARED	MISMATCH	MISMATCH	True	True	1	1	3	2	3	float16	(3,)	3	0.316	0.316		sigmoid	remainder;logical_not;bitwise_right_shift;index_put	max|delta|=0.231 |ref|max=0.731	w5_396__0.pt
w61:506	3	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		VGF_ONLY	OK	OK	False	False	2	6	10	2	3	float32	(3, 2)	6	0.01558	0.01289		tan	t_copy;native_group_norm;abs	max|delta|=0.07812 |ref|max=6.059	w61_506__3.pt
w63:310	2	SIBLING_DEPENDENT	VALUE	VALUE	NUMERIC	t9		VGF_ONLY	OK	OK	False	False	4	7	10	2	3	float16	(2,)	2	1.96	0.3984		_softmax	max	max|delta|=0.3311 |ref|max=0.8311	w63_310__2.pt
w69:691	2	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		VGF_ONLY	OK	OK	False	False	1	2	5	2	3	float32	(2,)	2	2	2		atan2	elu	max|delta|=6.281 |ref|max=3.141	w69_691__2.pt
w87:603	3	SIBLING_DEPENDENT	VALUE	VALUE	NUMERIC	t9		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	2	4	4	2	3	float16	()	1	0.0155	0.0155		min	gt	max|delta|=1 |ref|max=64.5	w87_603__3.pt
w92:427	3	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	1	2	12	2	3	float32	()	1	0.7529	0.7529		min	native_group_norm	max|delta|=0.7529 |ref|max=1	w92_427__3.pt
w97:357	0	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	2	3	10	2	3	float16	(1, 4, 4, 4)	64	11.35	0.3443		unsqueeze_copy	native_group_norm	max|delta|=0.8582 |ref|max=2.492	w97_357__0.pt
w98:671	0	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		INCONCL	EXC:RuntimeError:method->execute() failed with error 0x12	EXC:RuntimeError:method->execute() failed with error 0x12	None	None	1	2	4	2	3	float16	(2, 4)	8	1.047	1.047		native_group_norm	native_group_norm	max|delta|=1.047 |ref|max=1	w98_671__0.pt
w99:467	1	COMPOSITIONAL	VALUE	VALUE	NUMERIC	t9		VGF_ONLY	OK	OK	False	False	2	5	8	2	3	float16	(2,)	2	0.5662	0.5662		asin	sign;floor_divide;_softmax	max|delta|=0.2964 |ref|max=0.5234	w99_467__1.pt
w127:357	1	SIBLING_DEPENDENT	VALUE	VALUE	PARTIAL_ZERO	t5		VGF_ONLY	OK	OK	False	False	5	7	18	2	3	float16	(2, 2, 4, 3)	48				gt	transpose_copy	14/48 zeroed, rest match	w127_357__1.pt
w85:286	1	SIBLING_DEPENDENT	VALUE	VALUE	PARTIAL_ZERO	t5		VGF_ONLY	OK	SKIP	False	None	2	3	6	2	3	int64	(2, 2, 4, 4)	64				ne	clone	5/64 zeroed, rest match	w85_286__1.pt
w89:190	1	SIBLING_DEPENDENT	VALUE	VALUE	PARTIAL_ZERO	t5		VGF_ONLY	OK	OK	False	False	3	5	10	2	3	float32	(2,)	2				maximum	transpose_copy	1/2 zeroed, rest match	w89_190__1.pt
w90:492	0	COMPOSITIONAL	VALUE	VALUE	PARTIAL_ZERO	t5		VGF_ONLY	OK	OK	False	False	0	3	10	2	3	float32	(3,)	3				squeeze_copy	pow	2/3 zeroed, rest match	w90_492__0.pt
w11:82	0	COMPOSITIONAL	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		SHARED	MISMATCH	MISMATCH	True	True	1	1	1	2	3	float16	(2,)	2				tan	split_with_sizes_copy;bitwise_left_shift	ref all~0, |dev|max=84.75	w11_82__0.pt
w11:92	4	COMPOSITIONAL	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		VGF_ONLY	OK	OK	False	False	1	2	10	2	3	float32	(6,)	6				repeat	remainder	ref all~0, |dev|max=0.4825	w11_92__4.pt
w13:255	1	SIBLING_DEPENDENT	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		VGF_ONLY	OK	OK	False	False	4	3	5	2	3	float32	()	1				unbind_copy	remainder	ref all~0, |dev|max=1.119	w13_255__1.pt
w17:612	0	COMPOSITIONAL	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		SHARED	MISMATCH	MISMATCH	True	True	1	1	1	2	3	float32	(4,)	4				hardtanh	bitwise_left_shift	ref all~0, |dev|max=2	w17_612__0.pt
w2:408	1	COMPOSITIONAL	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		SHARED	MISMATCH	MISMATCH	True	True	0	0	2	2	3	float32	(2, 3, 1, 3, 1)	18				sin	bitwise_left_shift	ref all~0, |dev|max=0.9999	w2_408__1.pt
w55:621	3	COMPOSITIONAL	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		SHARED	MISMATCH	MISMATCH	True	True	0	2	8	2	3	int32	(1, 1, 1, 1, 1)	1				replication_pad3d	sum	ref all~0, |dev|max=72	w55_621__3.pt
w85:444	3	COMPOSITIONAL	VALUE	VALUE	REF_ZERO_DEV_NONZERO	t4b		SHARED	MISMATCH	MISMATCH	True	True	0	0	1	2	3	uint8	(4,)	4				bitwise_and	prod	ref all~0, |dev|max=8	w85_444__3.pt
